keys,es,en
Text/17/text,"No sé cuánto tiempo ha pasado, estaba completamente desorientado, sumergido en el agua y mirando hacia el abismo.","I don’t know how much time has passed, I was completely disoriented, submerged in the water and staring off into the abyss below"
Text/18/text,"Sin darme cuenta, estaba respirando, tosí fuertemente pensando que había respirado agua, pero por algún motivo mis pulmones no se inundaban, estaba respirando sin ningún problema.","Without even noticing, I was breathing, I coughed hard thinking I just inhaled a bunch of water, but for some reason my lungs weren’t flooding, I was breathing just fine."
Text/19/text,¿...Q-Qué…? ¿...Cómo estoy-…?,...W-What…? …H-How am I…?
Text/1a/text,"Justo en ese momento, noté algo brillando desde la oscuridad del abismo, de color azul claro brillante, se estaba acercando…","At that moment, I noticed something shining from within the depths of the abyss, a bright blue hue, it was getting closer…"
Text/1b/text,"Eran un par de ojos, no como los de antes, pero aún así no me transmitían seguridad… ¿Qué estaba pasando?","It was a pair of eyes, not like the ones I witnessed before, but they still didn’t seem safe to be around… What was going on…?"
Text/1c/text,"Vaya vaya, al fin despiertas, tienes suerte de que me percaté de tu presencia antes de que fueras engullido hacia el abismo, jejeje…","Well well, you’re finally awake, you’re lucky I noticed you before you could be swallowed by the abyss, hehehe…"
Text/1d/text,¿...Q-Quién eres…?,...W-Who are you…?
Text/1e/text,"Oh no te preocupes, eso lo descubrirás dentro de poco humano, primero tengo una oferta para tí…","Oh don’t worry about that, you’ll find out soon enough human, I got an offer for you first…"
Text/1f/text,"Mi magia ahora mismo es lo único que te mantiene con vida, así que por tu bien te sugiéro que cooperes y no hagas nada estúpido.","My magic is currently the only thing keeping you alive, so I recommend that you cooperate and don’t do anything stupid."
Text/20/text,"Necesito que me ayudes a recolectar algunas… emociones, de algunas personas de por aquí, nada forzoso, solo un poco de… manipulación emocional.","I need you to help me gather some… emotions, from some people around here, nothing brash of couse, just some… emotional manipulation."
Text/21/text,¿...D-De qué hablas…? ¿Qué clase de gente hay aquí abajo…?,...W-What are you talking about…? What kind of people are down here…?
Text/22/text,"Oooh mucha más de la que tu crees chaval, el mar es todo un mundo...","Oooh much more than you think boy, the sea is a whole new world…"
Text/23/text,...Ll-Llévame a casa…,...T-Take me back home…
Text/24/text,"Ooh, ¿exigiéndome a pesar de que te acabo de salvar la vida? Los humanos sois todos unos ingratos. Si quieres volver a casa tendrás que obedecerme…","Ooh, ordering me around despite me just saving your life? You humans really are an ungrateful bunch. If you want to go back home you’ll have to obey me…"
Text/25/text,...N-No…,...N-No…
Text/26/text,¿...Perdona?,...Excuse me?
Text/27/text,...N-No quiero… llévame a casa…,..I-I don’t want to… …take me back home…
Text/28/text,¡¡P-Pero serás-!! ¡¿Qué no entiendes que me perteneces ahora?!,W-Why you-!! Don’t you understand you belong to ME now?!
Text/29/text,¡¡¡Déjame mostrarte a lo que te enfrentas maldita escoria!!!,"“Let me show you what you’re dealing with, scum!!!"
Text/2a/text,¡¡¡AAAAAAGGGGGGGGHHHHHHHH!!!,AAAAAGGGGGGGGHHHHHHHH!!!
Text/2b/text,"Sentí una fuerte descarga correr por todo mi cuerpo, me había lanzado una extraña corriente de color morado, parecía fuera de este mundo…","I felt a powerful surge run through my whole body, she had shocked me with some strange purple lightning, it looked out of this world…"
Text/2c/text,"Todo mi cuerpo se sentía frío, nuevamente perdí la conciencia…","All my body felt cold, I fainted yet again…"
Label/42/display_name,,
